"Município";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"431142 LAJEADO DO BUGRE";"20";"26";"55";"51";"59";"98";"309"
"431150 LAVRAS DO SUL";"69";"88";"100";"169";"444";"431";"1301"
"431160 LIBERATO SALZANO";"76";"70";"100";"203";"318";"229";"996"
"431162 LINDOLFO COLLOR";"103";"100";"122";"135";"256";"295";"1011"
"431164 LINHA NOVA";"10";"17";"18";"70";"56";"134";"305"
"431170 MACHADINHO";"83";"188";"331";"232";"452";"235";"1521"
"431171 MACAMBARA";"52";"65";"32";"73";"72";"126";"420"
"431173 MAMPITUBA";"28";"42";"60";"124";"247";"122";"623"
"431175 MANOEL VIANA";"62";"100";"85";"215";"350";"337";"1149"
"431177 MAQUINE";"55";"111";"92";"147";"243";"359";"1007"
"431179 MARATA";"19";"26";"30";"39";"46";"53";"213"
"431180 MARAU";"643";"1407";"1689";"2314";"2898";"4028";"12979"
"431190 MARCELINO RAMOS";"63";"97";"60";"123";"228";"102";"673"
"431198 MARIANA PIMENTEL";"38";"71";"68";"139";"289";"327";"932"
"431200 MARIANO MORO";"19";"21";"14";"88";"36";"31";"209"
"431205 MARQUES DE SOUZA";"71";"42";"50";"29";"74";"92";"358"
"431210 MATA";"66";"58";"48";"54";"96";"146";"468"
"431213 MATO CASTELHANO";"52";"97";"91";"35";"158";"116";"549"
"431215 MATO LEITAO";"69";"59";"98";"185";"267";"262";"940"
"431217 MATO QUEIMADO";"21";"47";"52";"70";"208";"77";"475"
"431220 MAXIMILIANO DE ALMEIDA";"50";"64";"47";"302";"560";"548";"1571"
"431225 MINAS DO LEAO";"98";"182";"149";"150";"189";"146";"914"
"431230 MIRAGUAI";"55";"61";"138";"106";"111";"44";"515"
"431235 MONTAURI";"24";"49";"79";"141";"248";"131";"672"
"431237 MONTE ALEGRE DOS CAMPOS";"66";"51";"63";"113";"76";"90";"459"
"431238 MONTE BELO DO SUL";"22";"26";"40";"230";"279";"135";"732"
"431240 MONTENEGRO";"1138";"1231";"1462";"1416";"1980";"2483";"9710"
"431242 MORMACO";"45";"115";"39";"133";"100";"77";"509"
"431244 MORRINHOS DO SUL";"13";"24";"40";"39";"123";"175";"414"
"431245 MORRO REDONDO";"52";"112";"66";"191";"53";"93";"567"
"431247 MORRO REUTER";"75";"113";"114";"441";"202";"124";"1069"
"431250 MOSTARDAS";"173";"188";"214";"306";"527";"565";"1973"
"431260 MUCUM";"94";"64";"99";"211";"640";"673";"1781"
"431261 MUITOS CAPOES";"43";"84";"50";"47";"45";"61";"330"
"431262 MULITERNO";"45";"17";"37";"124";"34";"31";"288"
"431265 NAO-ME-TOQUE";"249";"388";"363";"390";"823";"670";"2883"
"431267 NICOLAU VERGUEIRO";"20";"53";"84";"97";"75";"69";"398"
"431270 NONOAI";"295";"304";"326";"288";"574";"434";"2221"
"431275 NOVA ALVORADA";"37";"41";"46";"297";"220";"132";"773"
"431280 NOVA ARACA";"86";"143";"122";"161";"330";"283";"1125"
"431290 NOVA BASSANO";"105";"419";"656";"500";"1181";"743";"3604"
"431295 NOVA BOA VISTA";"25";"23";"32";"25";"238";"140";"483"
"431300 NOVA BRESCIA";"35";"43";"21";"39";"63";"111";"312"
"431301 NOVA CANDELARIA";"25";"64";"30";"49";"141";"96";"405"
"431303 NOVA ESPERANCA DO SUL";"71";"66";"83";"73";"122";"116";"531"
"431306 NOVA HARTZ";"333";"369";"458";"1417";"753";"873";"4203"
"431308 NOVA PADUA";"15";"16";"18";"35";"60";"26";"170"
"431310 NOVA PALMA";"84";"71";"88";"870";"231";"135";"1479"
"431320 NOVA PETROPOLIS";"284";"414";"404";"548";"619";"517";"2786"
"431330 NOVA PRATA";"472";"595";"677";"1171";"1252";"1069";"5236"
"431333 NOVA RAMADA";"20";"26";"140";"63";"114";"55";"418"
"431335 NOVA ROMA DO SUL";"50";"51";"94";"73";"213";"106";"587"
"431337 NOVA SANTA RITA";"501";"1368";"931";"2298";"1736";"1052";"7886"
"431339 NOVO CABRAIS";"56";"56";"64";"113";"212";"168";"669"
"431340 NOVO HAMBURGO";"5648";"7560";"5809";"11271";"9169";"9994";"49451"
"431342 NOVO MACHADO";"34";"18";"25";"34";"123";"103";"337"
"431344 NOVO TIRADENTES";"27";"9";"27";"36";"172";"190";"461"
"431346 NOVO XINGU";"16";"69";"35";"60";"141";"146";"467"
"431349 NOVO BARREIRO";"60";"75";"151";"155";"313";"196";"950"
"431350 OSORIO";"743";"1133";"975";"3240";"2629";"2403";"11123"
"431360 PAIM FILHO";"28";"36";"44";"42";"265";"154";"569"
"431365 PALMARES DO SUL";"139";"184";"198";"404";"302";"224";"1451"
"431370 PALMEIRA DAS MISSOES";"620";"808";"1042";"811";"1676";"1880";"6837"
"431380 PALMITINHO";"110";"115";"325";"271";"401";"441";"1663"
"431390 PANAMBI";"718";"800";"945";"1700";"1947";"1740";"7850"
"431395 PANTANO GRANDE";"164";"131";"228";"218";"305";"312";"1358"
"431400 PARAI";"137";"168";"442";"346";"470";"406";"1969"
"431402 PARAISO DO SUL";"66";"74";"115";"280";"204";"169";"908"
"431403 PARECI NOVO";"62";"60";"59";"105";"102";"130";"518"
"431405 PAROBE";"1346";"863";"1416";"1854";"3155";"2888";"11522"
"431406 PASSA SETE";"52";"60";"313";"352";"345";"286";"1408"
"431407 PASSO DO SOBRADO";"33";"97";"119";"95";"179";"218";"741"
"431410 PASSO FUNDO";"5125";"11554";"6606";"9570";"9885";"9102";"51842"
"431413 PAULO BENTO";"16";"22";"18";"149";"99";"96";"400"
"431415 PAVERAMA";"110";"103";"111";"251";"457";"636";"1668"
"431417 PEDRAS ALTAS";"3";"38";"61";"82";"75";"41";"300"
"431420 PEDRO OSORIO";"160";"99";"112";"78";"215";"164";"828"
"431430 PEJUCARA";"31";"51";"46";"92";"136";"97";"453"
"431440 PELOTAS";"5896";"22004";"4275";"15737";"10831";"9473";"68216"
"431442 PICADA CAFE";"82";"86";"61";"66";"184";"349";"828"
"431445 PINHAL";"28";"43";"25";"81";"111";"104";"392"
"431446 PINHAL DA SERRA";"32";"72";"185";"145";"295";"200";"929"
"431447 PINHAL GRANDE";"52";"41";"53";"422";"188";"107";"863"
"431449 PINHEIRINHO DO VALE";"100";"78";"119";"121";"121";"171";"710"
"431450 PINHEIRO MACHADO";"118";"72";"83";"96";"340";"273";"982"
"431454 PINTO BANDEIRA";"29";"20";"15";"173";"210";"93";"540"
"431455 PIRAPO";"26";"14";"26";"37";"75";"41";"219"
"431460 PIRATINI";"282";"588";"262";"751";"519";"431";"2833"
"431470 PLANALTO";"189";"219";"265";"341";"349";"459";"1822"
"431475 POCO DAS ANTAS";"30";"48";"102";"211";"283";"171";"845"
"431477 PONTAO";"135";"187";"31";"84";"164";"82";"683"
"431478 PONTE PRETA";"15";"15";"26";"119";"71";"43";"289"
"431480 PORTAO";"523";"621";"639";"669";"1148";"983";"4583"
"431490 PORTO ALEGRE";"29416";"56594";"33652";"68428";"66477";"58411";"312978"
"431500 PORTO LUCENA";"50";"56";"100";"184";"155";"162";"707"
"431505 PORTO MAUA";"26";"27";"23";"25";"64";"62";"227"
"431507 PORTO VERA CRUZ";"11";"13";"19";"19";"52";"45";"159"
"431510 PORTO XAVIER";"200";"446";"496";"937";"613";"468";"3160"
"431513 POUSO NOVO";"21";"18";"20";"22";"39";"40";"160"
"431514 PRESIDENTE LUCENA";"47";"36";"45";"73";"122";"114";"437"
"431515 PROGRESSO";"57";"52";"54";"255";"119";"305";"842"
"431517 PROTASIO ALVES";"21";"37";"55";"107";"71";"60";"351"
"431520 PUTINGA";"37";"52";"70";"44";"94";"80";"377"
"431530 QUARAI";"191";"269";"241";"428";"380";"202";"1711"
"431531 QUATRO IRMAOS";"22";"26";"19";"116";"92";"85";"360"
"431532 QUEVEDOS";"24";"32";"22";"71";"76";"56";"281"
"431535 QUINZE DE NOVEMBRO";"52";"107";"103";"181";"153";"114";"710"
"431540 REDENTORA";"202";"195";"290";"280";"514";"275";"1756"
"431545 RELVADO";"21";"27";"15";"13";"63";"39";"178"
"431550 RESTINGA SECA";"172";"162";"386";"590";"469";"460";"2239"
"431555 RIO DOS INDIOS";"41";"35";"47";"53";"90";"56";"322"
"431560 RIO GRANDE";"3481";"15492";"4074";"8525";"8283";"6213";"46068"
"431570 RIO PARDO";"501";"333";"397";"748";"1341";"992";"4312"
"431575 RIOZINHO";"76";"65";"51";"18";"69";"93";"372"
"431580 ROCA SALES";"154";"145";"181";"135";"427";"641";"1683"
"431590 RODEIO BONITO";"67";"88";"104";"112";"197";"225";"793"
"431595 ROLADOR";"18";"25";"32";"66";"57";"53";"251"
"431600 ROLANTE";"296";"355";"563";"761";"945";"402";"3322"
"431610 RONDA ALTA";"160";"259";"183";"267";"607";"330";"1806"
"431620 RONDINHA";"74";"239";"173";"312";"604";"990";"2392"
"431630 ROQUE GONZALES";"93";"227";"247";"197";"220";"322";"1306"
"431640 ROSARIO DO SUL";"463";"719";"597";"728";"926";"685";"4118"
"431642 SAGRADA FAMILIA";"29";"44";"45";"52";"195";"144";"509"
"431643 SALDANHA MARINHO";"42";"38";"95";"67";"160";"76";"478"
"431645 SALTO DO JACUI";"161";"282";"251";"290";"573";"386";"1943"
"431647 SALVADOR DAS MISSOES";"26";"48";"231";"171";"190";"144";"810"
"431650 SALVADOR DO SUL";"71";"242";"120";"432";"542";"344";"1751"
"431660 SANANDUVA";"167";"171";"222";"1012";"494";"480";"2546"
"431670 SANTA BARBARA DO SUL";"161";"402";"222";"415";"548";"505";"2253"
"431673 SANTA CECILIA DO SUL";"20";"21";"37";"51";"115";"151";"395"
"431675 SANTA CLARA DO SUL";"107";"190";"183";"455";"436";"507";"1878"
"431680 SANTA CRUZ DO SUL";"2365";"2938";"2217";"3359";"4541";"3864";"19284"
"431690 SANTA MARIA";"4559";"7788";"8273";"9750";"13968";"11467";"55805"
"431695 SANTA MARIA DO HERVAL";"73";"72";"63";"66";"12";"59";"345"
"431697 SANTA MARGARIDA DO SUL";"15";"28";"36";"57";"40";"34";"210"
"431700 SANTANA DA BOA VISTA";"71";"42";"28";"8";"29";"142";"320"
"431710 SANT\'ANA DO LIVRAMENTO";"1527";"1136";"1277";"4072";"4141";"3486";"15639"
"431720 SANTA ROSA";"1386";"1309";"3042";"3501";"4691";"4357";"18286"
"431725 SANTA TEREZA";"17";"32";"128";"90";"75";"60";"402"
"431730 SANTA VITORIA DO PALMAR";"407";"2161";"472";"776";"693";"979";"5488"
"431740 SANTIAGO";"822";"1769";"1290";"1216";"1535";"896";"7528"
"431750 SANTO ANGELO";"1078";"1730";"2068";"2786";"3119";"2840";"13621"
"431755 SANTO ANTONIO DO PALMA";"16";"22";"30";"39";"82";"78";"267"
"431760 SANTO ANTONIO DA PATRULHA";"921";"1010";"962";"1858";"2744";"2182";"9677"
"431770 SANTO ANTONIO DAS MISSOES";"89";"73";"119";"121";"260";"128";"790"
"431775 SANTO ANTONIO DO PLANALTO";"17";"27";"43";"37";"40";"27";"191"
"431780 SANTO AUGUSTO";"232";"215";"324";"620";"428";"480";"2299"
"431790 SANTO CRISTO";"188";"200";"591";"520";"1146";"997";"3642"
"431795 SANTO EXPEDITO DO SUL";"4";"4";"24";"97";"48";"39";"216"
"431800 SAO BORJA";"3089";"5611";"2826";"4577";"4897";"4607";"25607"
"431805 SAO DOMINGOS DO SUL";"42";"330";"71";"92";"139";"216";"890"
"431810 SAO FRANCISCO DE ASSIS";"212";"206";"284";"1020";"551";"504";"2777"
"431820 SAO FRANCISCO DE PAULA";"329";"343";"388";"565";"936";"488";"3049"
"431830 SAO GABRIEL";"741";"1943";"2012";"2929";"3730";"2550";"13905"
"431840 SAO JERONIMO";"427";"449";"524";"699";"965";"857";"3921"
"431842 SAO JOAO DA URTIGA";"44";"68";"149";"178";"284";"116";"839"
"431843 SAO JOAO DO POLESINE";"35";"22";"35";"57";"58";"81";"288"
"431844 SAO JORGE";"27";"32";"29";"35";"49";"64";"236"
"431845 SAO JOSE DAS MISSOES";"19";"42";"219";"88";"108";"123";"599"
"431846 SAO JOSE DO HERVAL";"22";"31";"20";"117";"85";"94";"369"
"431848 SAO JOSE DO HORTENCIO";"88";"99";"92";"278";"121";"113";"791"
"431849 SAO JOSE DO INHACORA";"31";"28";"42";"235";"235";"117";"688"
"431850 SAO JOSE DO NORTE";"425";"1460";"431";"663";"680";"623";"4282"
"431860 SAO JOSE DO OURO";"83";"107";"126";"205";"218";"225";"964"
"431861 SAO JOSE DO SUL";"51";"66";"216";"152";"91";"174";"750"
"431862 SAO JOSE DOS AUSENTES";"49";"70";"100";"101";"196";"196";"712"
"431870 SAO LEOPOLDO";"4266";"4860";"5125";"5603";"7735";"8753";"36342"
"431880 SAO LOURENCO DO SUL";"427";"2388";"548";"2007";"763";"860";"6993"
"431890 SAO LUIZ GONZAGA";"446";"1062";"859";"1131";"2050";"1037";"6585"
"431900 SAO MARCOS";"258";"370";"363";"1372";"2078";"1377";"5818"
"431910 SAO MARTINHO";"57";"93";"610";"346";"505";"326";"1937"
"431912 SAO MARTINHO DA SERRA";"26";"39";"51";"78";"111";"51";"356"
"431915 SAO MIGUEL DAS MISSOES";"86";"328";"133";"187";"230";"132";"1096"
"431920 SAO NICOLAU";"68";"111";"113";"208";"282";"168";"950"
"431930 SAO PAULO DAS MISSOES";"99";"40";"38";"52";"105";"123";"457"
"431935 SAO PEDRO DA SERRA";"56";"79";"68";"160";"272";"466";"1101"
"431936 SAO PEDRO DAS MISSOES";"22";"22";"42";"39";"223";"174";"522"
"431937 SAO PEDRO DO BUTIA";"37";"29";"102";"189";"193";"141";"691"
"431940 SAO PEDRO DO SUL";"175";"178";"284";"291";"574";"700";"2202"
"431950 SAO SEBASTIAO DO CAI";"300";"468";"448";"578";"1006";"232";"3032"
"431960 SAO SEPE";"198";"295";"387";"619";"496";"572";"2567"
"431970 SAO VALENTIM";"30";"49";"43";"39";"179";"162";"502"
"431971 SAO VALENTIM DO SUL";"21";"33";"23";"8";"38";"49";"172"
"431973 SAO VALERIO DO SUL";"14";"20";"70";"42";"82";"83";"311"
"431975 SAO VENDELINO";"16";"27";"42";"262";"163";"50";"560"
"431980 SAO VICENTE DO SUL";"68";"121";"161";"210";"172";"159";"891"
"431990 SAPIRANGA";"1327";"1129";"1181";"2263";"1805";"2787";"10492"
"432000 SAPUCAIA DO SUL";"2689";"4535";"2621";"7652";"5248";"4479";"27224"
"432010 SARANDI";"315";"454";"518";"748";"1602";"1416";"5053"
"432020 SEBERI";"204";"154";"207";"345";"580";"505";"1995"
"432023 SEDE NOVA";"35";"34";"55";"72";"93";"111";"400"
"432026 SEGREDO";"69";"107";"512";"307";"775";"466";"2236"
"432030 SELBACH";"71";"89";"149";"830";"393";"300";"1832"
"432032 SENADOR SALGADO FILHO";"56";"53";"488";"326";"216";"215";"1354"
"432035 SENTINELA DO SUL";"70";"89";"56";"150";"208";"110";"683"
"432040 SERAFINA CORREA";"228";"319";"459";"665";"868";"834";"3373"
"432045 SERIO";"17";"18";"20";"30";"36";"36";"157"
"432050 SERTAO";"53";"679";"164";"524";"503";"281";"2204"
"432055 SERTAO SANTANA";"64";"71";"154";"401";"453";"297";"1440"
"432057 SETE DE SETEMBRO";"20";"33";"105";"119";"87";"69";"433"
"432060 SEVERIANO DE ALMEIDA";"67";"59";"62";"106";"198";"198";"690"
"432065 SILVEIRA MARTINS";"25";"12";"25";"33";"40";"20";"155"
"432067 SINIMBU";"99";"68";"206";"187";"164";"143";"867"
"432070 SOBRADINHO";"175";"250";"192";"636";"684";"550";"2487"
"432080 SOLEDADE";"469";"630";"1192";"1017";"1171";"1203";"5682"
"432085 TABAI";"73";"71";"74";"367";"181";"152";"918"
"432090 TAPEJARA";"269";"443";"766";"495";"1008";"957";"3938"
"432100 TAPERA";"113";"170";"198";"432";"535";"795";"2243"
"432110 TAPES";"312";"320";"218";"260";"438";"321";"1869"
"432120 TAQUARA";"641";"242";"436";"1171";"1116";"518";"4124"
"432130 TAQUARI";"491";"572";"472";"863";"695";"619";"3712"
"432132 TAQUARUCU DO SUL";"31";"31";"51";"48";"194";"225";"580"
"432135 TAVARES";"55";"119";"47";"364";"176";"97";"858"
"432140 TENENTE PORTELA";"165";"243";"315";"390";"758";"938";"2809"
"432143 TERRA DE AREIA";"149";"246";"223";"198";"562";"424";"1802"
"432145 TEUTONIA";"483";"541";"804";"2221";"1731";"2064";"7844"
"432146 TIO HUGO";"57";"66";"100";"45";"99";"113";"480"
"432147 TIRADENTES DO SUL";"52";"64";"73";"53";"163";"188";"593"
"432149 TOROPI";"29";"31";"25";"90";"159";"132";"466"
"432150 TORRES";"615";"625";"679";"2809";"3034";"2419";"10181"
"432160 TRAMANDAI";"911";"1330";"1124";"4076";"3655";"3242";"14338"
"432162 TRAVESSEIRO";"16";"23";"22";"92";"30";"10";"193"
"432163 TRES ARROIOS";"20";"18";"33";"102";"115";"191";"479"
"432166 TRES CACHOEIRAS";"125";"121";"182";"666";"885";"649";"2628"
"432170 TRES COROAS";"347";"386";"601";"679";"767";"739";"3519"
"432180 TRES DE MAIO";"318";"229";"399";"1053";"1188";"1800";"4987"
"432183 TRES FORQUILHAS";"69";"57";"63";"78";"200";"74";"541"
"432185 TRES PALMEIRAS";"87";"112";"148";"318";"246";"79";"990"
"432190 TRES PASSOS";"293";"340";"359";"736";"959";"1183";"3870"
"432195 TRINDADE DO SUL";"106";"158";"338";"333";"343";"362";"1640"
"432200 TRIUNFO";"485";"708";"576";"1150";"1067";"877";"4863"
"432210 TUCUNDUVA";"58";"94";"506";"332";"321";"282";"1593"
"432215 TUNAS";"48";"111";"551";"385";"259";"136";"1490"
"432218 TUPANCI DO SUL";"15";"14";"13";"44";"207";"59";"352"
"432220 TUPANCIRETA";"314";"704";"148";"421";"643";"737";"2967"
"432225 TUPANDI";"78";"51";"86";"143";"482";"391";"1231"
"432230 TUPARENDI";"99";"194";"316";"408";"711";"394";"2122"
"432232 TURUCU";"60";"263";"54";"208";"93";"87";"765"
"432234 UBIRETAMA";"16";"34";"25";"33";"27";"33";"168"
"432235 UNIAO DA SERRA";"12";"17";"39";"10";"49";"20";"147"
"432237 UNISTALDA";"46";"36";"41";"66";"100";"118";"407"
"432240 URUGUAIANA";"2691";"5366";"4525";"5806";"7079";"7525";"32992"
"432250 VACARIA";"1058";"1221";"1629";"2397";"2319";"2192";"10816"
"432252 VALE VERDE";"28";"39";"91";"110";"132";"134";"534"
"432253 VALE DO SOL";"85";"118";"267";"427";"286";"228";"1411"
"432254 VALE REAL";"80";"88";"96";"90";"309";"212";"875"
"432255 VANINI";"45";"290";"95";"201";"178";"76";"885"
"432260 VENANCIO AIRES";"1377";"1285";"2241";"2561";"3076";"3553";"14093"
"432270 VERA CRUZ";"309";"331";"432";"640";"645";"619";"2976"
"432280 VERANOPOLIS";"652";"868";"1363";"1333";"1477";"1505";"7198"
"432285 VESPASIANO CORREA";"14";"12";"17";"41";"44";"21";"149"
"432290 VIADUTOS";"31";"36";"54";"130";"162";"337";"750"
"432300 VIAMAO";"5128";"6343";"4254";"3887";"6294";"3000";"28906"
"432310 VICENTE DUTRA";"59";"94";"115";"149";"290";"256";"963"
"432320 VICTOR GRAEFF";"39";"49";"184";"48";"136";"93";"549"
"432330 VILA FLORES";"50";"79";"149";"432";"892";"311";"1913"
"432335 VILA LANGARO";"12";"159";"31";"37";"88";"48";"375"
"432340 VILA MARIA";"55";"1447";"292";"219";"310";"376";"2699"
"432345 VILA NOVA DO SUL";"27";"67";"40";"196";"202";"88";"620"
"432350 VISTA ALEGRE";"25";"32";"33";"41";"58";"79";"268"
"432360 VISTA ALEGRE DO PRATA";"23";"12";"39";"20";"221";"24";"339"
"432370 VISTA GAUCHA";"29";"38";"35";"45";"132";"127";"406"
"432375 VITORIA DAS MISSOES";"20";"35";"27";"56";"80";"118";"336"
"432377 WESTFALIA";"37";"35";"101";"89";"220";"186";"668"
"432380 XANGRI-LA";"239";"284";"378";"443";"725";"870";"2939"
"500020 AGUA CLARA";"427";"341";"502";"1343";"1089";"1635";"5337"
"500025 ALCINOPOLIS";"192";"104";"115";"123";"266";"178";"978"
"500060 AMAMBAI";"918";"437";"619";"1425";"1756";"2493";"7648"
"500070 ANASTACIO";"686";"690";"609";"833";"929";"734";"4481"
"500080 ANAURILANDIA";"233";"134";"76";"93";"150";"100";"786"
"500085 ANGELICA";"261";"282";"320";"654";"994";"1165";"3676"
"500090 ANTONIO JOAO";"714";"462";"333";"421";"621";"674";"3225"
"500100 APARECIDA DO TABOADO";"488";"767";"983";"1951";"983";"1584";"6756"
"500110 AQUIDAUANA";"1512";"996";"1120";"1406";"3103";"2376";"10513"
"500124 ARAL MOREIRA";"178";"239";"202";"220";"444";"332";"1615"
"500150 BANDEIRANTES";"127";"96";"87";"138";"432";"481";"1361"
"500190 BATAGUASSU";"260";"145";"272";"1003";"1036";"682";"3398"
"500200 BATAYPORA";"476";"199";"183";"310";"376";"423";"1967"
"500210 BELA VISTA";"984";"442";"550";"652";"1258";"1060";"4946"
"500215 BODOQUENA";"419";"146";"150";"166";"326";"212";"1419"
"500220 BONITO";"1827";"2594";"1086";"1941";"1532";"1751";"10731"
"500230 BRASILANDIA";"331";"130";"373";"507";"985";"1968";"4294"
"500240 CAARAPO";"1457";"768";"707";"759";"1608";"1290";"6589"
"500260 CAMAPUA";"336";"241";"350";"887";"352";"1489";"3655"
"500270 CAMPO GRANDE";"29180";"39999";"34194";"60808";"64173";"39015";"267369"
"500280 CARACOL";"414";"210";"354";"154";"217";"180";"1529"
"500290 CASSILANDIA";"794";"867";"689";"1272";"1027";"790";"5439"
"500295 CHAPADAO DO SUL";"434";"713";"1529";"3932";"3866";"3543";"14017"
"500310 CORGUINHO";"185";"52";"59";"123";"304";"511";"1234"
"500315 CORONEL SAPUCAIA";"804";"380";"339";"1414";"1167";"1624";"5728"
"500320 CORUMBA";"4184";"1915";"2650";"6332";"5448";"6753";"27282"
"500325 COSTA RICA";"1164";"1487";"1888";"1556";"1952";"2205";"10252"
"500330 COXIM";"1693";"1268";"1402";"973";"1555";"1181";"8072"
"500345 DEODAPOLIS";"453";"356";"191";"458";"1187";"1589";"4234"
"500348 DOIS IRMAOS DO BURITI";"226";"272";"224";"248";"469";"352";"1791"
"500350 DOURADINA";"101";"113";"116";"113";"200";"243";"886"
"500370 DOURADOS";"8068";"11977";"8394";"11555";"10434";"10479";"60907"
"500375 ELDORADO";"363";"221";"262";"849";"414";"556";"2665"
"500380 FATIMA DO SUL";"713";"494";"356";"351";"1288";"1649";"4851"
"500390 FIGUEIRAO";"71";"86";"61";"253";"216";"761";"1448"
"500400 GLORIA DE DOURADOS";"109";"157";"300";"672";"594";"1247";"3079"
"500410 GUIA LOPES DA LAGUNA";"444";"215";"172";"288";"1062";"625";"2806"
"500430 IGUATEMI";"620";"909";"675";"997";"1051";"724";"4976"
"500440 INOCENCIA";"60";"135";"114";"103";"257";"1109";"1778"
"500450 ITAPORA";"799";"478";"346";"553";"702";"669";"3547"
"500460 ITAQUIRAI";"785";"521";"280";"325";"470";"513";"2894"
"500470 IVINHEMA";"776";"391";"556";"582";"1991";"1468";"5764"
"500480 JAPORA";"87";"53";"164";"187";"374";"347";"1212"
"500490 JARAGUARI";"208";"280";"140";"388";"168";"253";"1437"
"500500 JARDIM";"1056";"557";"863";"1836";"1524";"2753";"8589"
"500510 JATEI";"280";"202";"376";"394";"805";"196";"2253"
"500515 JUTI";"212";"185";"299";"692";"427";"472";"2287"
"500520 LADARIO";"1416";"364";"429";"1863";"874";"469";"5415"
"500525 LAGUNA CARAPA";"111";"21";"201";"134";"605";"663";"1735"
"500540 MARACAJU";"956";"713";"786";"1012";"2026";"1373";"6866"
"500560 MIRANDA";"177";"235";"743";"2254";"1130";"1069";"5608"
"500568 MUNDO NOVO";"954";"591";"823";"651";"1115";"1113";"5247"
"500570 NAVIRAI";"1657";"1655";"1412";"3608";"3016";"3134";"14482"
"500580 NIOAQUE";"330";"280";"355";"321";"602";"595";"2483"
"500600 NOVA ALVORADA DO SUL";"595";"534";"611";"1653";"712";"629";"4734"
"500620 NOVA ANDRADINA";"1239";"1053";"917";"1351";"3873";"5764";"14197"
"500625 NOVO HORIZONTE DO SUL";"255";"153";"137";"117";"198";"159";"1019"
"500627 PARAISO DAS AGUAS";"93";"171";"130";"136";"416";"559";"1505"
"500630 PARANAIBA";"834";"421";"969";"2028";"1721";"1876";"7849"
"500635 PARANHOS";"1114";"656";"524";"641";"1022";"1010";"4967"
"500640 PEDRO GOMES";"1121";"414";"336";"295";"404";"423";"2993"
"500660 PONTA PORA";"4080";"3701";"2872";"6763";"6908";"8533";"32857"
"500690 PORTO MURTINHO";"657";"222";"274";"593";"470";"369";"2585"
"500710 RIBAS DO RIO PARDO";"424";"418";"827";"1155";"1126";"1150";"5100"
"500720 RIO BRILHANTE";"1621";"1664";"887";"1339";"1619";"1695";"8825"
"500730 RIO NEGRO";"47";"101";"84";"173";"155";"932";"1492"
"500740 RIO VERDE DE MATO GROSSO";"763";"461";"439";"635";"1217";"1837";"5352"
"500750 ROCHEDO";"0";"44";"96";"83";"225";"199";"647"
"500755 SANTA RITA DO PARDO";"127";"73";"75";"105";"497";"367";"1244"
"500769 SAO GABRIEL DO OESTE";"644";"773";"1401";"954";"1543";"1437";"6752"
"500770 SETE QUEDAS";"895";"475";"427";"411";"295";"326";"2829"
"500780 SELVIRIA";"127";"183";"577";"854";"537";"1485";"3763"
"500790 SIDROLANDIA";"1201";"1021";"1123";"2832";"2019";"1670";"9866"
"500793 SONORA";"1579";"1768";"719";"565";"1182";"1099";"6912"
"500795 TACURU";"382";"229";"269";"208";"397";"533";"2018"
"500797 TAQUARUSSU";"104";"50";"65";"66";"138";"189";"612"
"500800 TERENOS";"279";"23";"271";"474";"443";"879";"2369"
"500830 TRES LAGOAS";"4023";"5943";"7258";"9857";"14007";"9374";"50462"
"500840 VICENTINA";"324";"357";"291";"210";"417";"355";"1954"
"510010 ACORIZAL";"142";"197";"186";"181";"135";"112";"953"
"510020 AGUA BOA";"568";"492";"776";"1735";"1500";"1753";"6824"
"510025 ALTA FLORESTA";"1672";"1613";"1674";"1883";"2297";"2267";"11406"
"510030 ALTO ARAGUAIA";"285";"334";"334";"630";"1096";"721";"3400"
"510035 ALTO BOA VISTA";"79";"122";"98";"231";"492";"427";"1449"
"510040 ALTO GARCAS";"225";"266";"160";"434";"585";"956";"2626"
"510050 ALTO PARAGUAI";"122";"118";"104";"261";"190";"281";"1076"
"510060 ALTO TAQUARI";"213";"209";"222";"465";"867";"548";"2524"
"510080 APIACAS";"210";"123";"125";"201";"496";"413";"1568"
"510100 ARAGUAIANA";"44";"86";"137";"222";"158";"116";"763"
"510120 ARAGUAINHA";"17";"14";"21";"48";"100";"65";"265"
"510125 ARAPUTANGA";"284";"261";"400";"821";"1019";"1010";"3795"
"510130 ARENAPOLIS";"241";"196";"280";"361";"448";"367";"1893"
"510140 ARIPUANA";"591";"576";"293";"1629";"1816";"2134";"7039"
"510160 BARAO DE MELGACO";"69";"89";"77";"307";"242";"714";"1498"
"510170 BARRA DO BUGRES";"1000";"742";"949";"1335";"1581";"1605";"7212"
"510180 BARRA DO GARCAS";"1018";"1194";"894";"1476";"2940";"2470";"9992"
"510185 BOM JESUS DO ARAGUAIA";"127";"313";"142";"344";"524";"502";"1952"
"510190 BRASNORTE";"404";"336";"225";"965";"958";"795";"3683"
"510250 CACERES";"2106";"2298";"2335";"4875";"4397";"3371";"19382"
"510260 CAMPINAPOLIS";"537";"792";"131";"275";"785";"653";"3173"
"510263 CAMPO NOVO DO PARECIS";"1039";"1276";"2162";"4351";"4512";"4695";"18035"
